symbol,first_traded,last_traded,n_days,isin,continuity_id,company_name,listing_date,active_flag,status
CRANESSOFT,2010-06-10,2010-09-02,61,,CRANESSOFT,,,,inactive
CREATIVE,2019-08-05,2025-12-09,1408,,CREATIVE,,,,inactive
CREATIVEYE,2010-06-10,2026-06-10,2325,INE230B01021,CREATIVEYE,CREATIVE EYE LIMITED,2000-12-20,True,active
CREDITACC,2018-08-23,2026-06-10,1922,INE741K01010,CREDITACC,CREDITACCESS GRAMEEN LIMITED,2018-08-23,True,active
CREST,2014-11-17,2026-06-10,2642,INE559D01011,CREST,CREST VENTURES LIMITED,2006-12-27,True,active
CRESTANI,2010-06-11,2014-05-22,867,,CRESTANI,,,,inactive
CREWBOS,2010-06-10,2013-09-16,812,,CREWBOS,,,,inactive
CRISIL,2010-06-10,2026-06-10,3947,INE007A01025,CRISIL,CRISIL LIMITED,1995-06-28,True,active
CRIZAC,2025-07-09,2026-06-10,226,INE0S4R01014,CRIZAC,CRIZAC LIMITED,2025-07-09,True,active
CRMFGETF,2012-03-27,2019-11-06,1197,,CRMFGETF,,,,inactive
CROMPGREAV,2010-06-10,2017-03-07,1662,,CROMPGREAV,,,,inactive
CROMPTON,2016-05-27,2026-06-10,2478,INE299U01018,CROMPTON,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,2016-05-13,True,active
CRONIMET,2010-06-10,2012-03-30,452,,CRONIMET,,,,inactive
CROWN,2022-02-08,2026-06-10,653,INE491V01019,CROWN,CROWN LIFTERS LIMITED,2022-02-08,True,active
CSBBANK,2019-12-04,2026-06-10,1613,INE679A01013,CSBBANK,CSB BANK LIMITED,2019-12-04,True,active
CSLFINANCE,2022-07-21,2026-06-10,960,INE718F01018,CSLFINANCE,CSL FINANCE LIMITED,2022-07-21,True,active
CTE,2010-06-11,2026-06-10,3167,INE627H01017,CTE,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,2007-02-07,True,active
CUB,2010-06-10,2026-06-10,3947,INE491A01021,CUB,CITY UNION BANK LIMITED,1998-08-25,True,active
CUBEXTUB,2010-06-10,2026-06-10,2026,INE144D01012,CUBEXTUB,CUBEX TUBINGS LIMITED,1996-04-24,True,active
CUMMINSIND,2010-06-10,2026-06-10,3947,INE298A01020,CUMMINSIND,CUMMINS INDIA LIMITED,1995-03-29,True,active
CUPID,2016-09-16,2026-06-10,2185,INE509F01029,CUPID,CUPID LIMITED,2016-09-16,True,active
CURAA,2025-04-08,2026-06-10,6,INE117B01020,CURAA,CURA TECHNOLOGIES LIMITED,2025-03-21,True,active
CURATECH,2010-12-03,2017-12-29,915,,CURATECH,,,,inactive
CYBERMEDIA,2010-06-10,2026-05-13,1901,INE278G01037,CYBERMEDIA,CYBER MEDIA (INDIA) LIMITED,2005-06-10,True,active
CYBERTECH,2010-06-10,2026-06-10,3653,INE214A01019,CYBERTECH,CYBERTECH SYSTEMS AND SOFTWARE LIMITED,1999-01-27,True,active
CYIENT,2014-05-22,2026-06-10,2970,INE136B01020,CYIENT,CYIENT LIMITED,1998-09-30,True,active
CYIENTDLM,2023-07-10,2026-06-10,722,INE055S01018,CYIENTDLM,CYIENT DLM LIMITED,2023-07-10,True,active
DAAWAT,2010-06-10,2023-11-03,3306,,DAAWAT,,,,inactive
DABUR,2010-06-10,2026-06-10,3947,INE016A01026,DABUR,DABUR INDIA LIMITED,1999-04-28,True,active
DAICHI,2026-04-20,2026-06-10,36,INE928C01010,DAICHI,DAI-ICHI KARKARIA LIMITED,2026-04-20,True,active
DALBHARAT,2019-02-05,2026-06-10,1813,INE00R701025,DALBHARAT,DALMIA BHARAT LIMITED,2019-01-22,True,active
DALMIABEL,2011-02-10,2013-01-08,472,,DALMIABEL,,,,inactive
DALMIABHA,2013-01-09,2018-11-28,1418,,DALMIABHA,,,,inactive
DALMIACEM,2010-06-10,2010-09-23,75,,DALMIACEM,,,,inactive
DALMIAREF,2014-05-22,2015-01-29,114,,DALMIAREF,,,,inactive
DALMIASUG,2010-10-08,2026-06-10,3730,INE495A01022,DALMIASUG,DALMIA BHARAT SUGAR AND INDUSTRIES LIMITED,1996-01-17,True,active
DAMCAPITAL,2024-12-27,2026-06-10,358,INE284H01025,DAMCAPITAL,DAM CAPITAL ADVISORS LIMITED,2024-12-27,True,active
DAMODARIND,2016-07-04,2026-06-10,2393,INE497D01022,DAMODARIND,DAMODAR INDUSTRIES LIMITED,2016-07-04,True,active
DANGEE,2020-11-13,2026-06-10,1155,INE688Y01022,DANGEE,DANGEE DUMS LIMITED,2020-11-13,True,active
DATAMATICS,2010-06-10,2026-06-10,3934,INE365B01017,DATAMATICS,DATAMATICS GLOBAL SERVICES LIMITED,2004-05-07,True,active
DATAPATTNS,2021-12-24,2026-06-10,1103,INE0IX101010,DATAPATTNS,DATA PATTERNS (INDIA) LIMITED,2021-12-24,True,active
DAVANGERE,2024-01-25,2026-06-10,586,INE179G01029,DAVANGERE,DAVANGERE SUGAR COMPANY LIMITED,2024-01-25,True,active
DBCORP,2010-06-10,2026-06-10,3888,INE950I01011,DBCORP,D.B.CORPORATION LIMITED,2010-01-06,True,active
DBEIL,2024-10-28,2026-06-01,392,INE0OPA01019,DBEIL,DEEPAK BUILDERS AND ENGINEERS INDIA LIMITED,2024-10-28,True,active
DBL,2016-08-11,2026-06-10,2425,INE917M01012,DBL,DILIP BUILDCON LIMITED,2016-08-11,True,active
DBOL,2022-09-22,2026-04-15,793,INE0I3401014,DBOL,DHAMPUR BIO ORGANICS LIMITED,2022-09-08,True,active
DBREALTY,2010-06-10,2026-05-18,3459,INE879I01012,DBREALTY,VALOR ESTATE LIMITED,2010-02-24,True,active
DBSTOCKBRO,2012-02-29,2026-06-10,2886,INE921B01025,DBSTOCKBRO,DB (INTERNATIONAL) STOCK BROKERS LIMITED,2012-02-29,True,active
DCAL,2017-10-06,2026-06-10,2083,INE385W01011,DCAL,DISHMAN CARBOGEN AMCIS LIMITED,2017-09-21,True,active
DCB,2010-06-10,2014-01-14,893,,DCB,,,,inactive
DCBBANK,2014-01-15,2026-06-10,3054,INE503A01015,DCBBANK,DCB BANK LIMITED,2006-10-27,True,active
DCHL,2010-06-10,2012-11-22,612,,DCHL,,,,inactive
DCI,2022-10-19,2026-04-08,514,INE0A1101019,DCI,DC INFOTECH AND COMMUNICATION LIMITED,2022-10-19,True,inactive
DCM,2010-06-10,2026-06-10,3587,INE498A01018,DCM,DCM LIMITED,1995-03-29,True,active
DCMFINSERV,2010-06-10,2026-03-16,761,INE891B01012,DCMFINSERV,DCM FINANCIAL SERVICES LIMITED,1997-05-21,True,inactive
DCMNVL,2019-07-30,2026-05-18,1536,INE08KP01019,DCMNVL,DCM NOUVELLE LIMITED,2019-07-16,True,active
DCMSHRIRAM,2014-03-13,2026-06-10,3014,INE499A01024,DCMSHRIRAM,DCM SHRIRAM LIMITED,1995-04-12,True,active
DCMSIL,2026-03-04,2026-03-19,12,INE0OU201013,DCMSIL,DCM SHRIRAM INTERNATIONAL LIMITED,2026-02-17,True,inactive
DCMSRIND,2021-12-24,2026-06-10,1093,INE843D01027,DCMSRIND,DCM SHRIRAM INDUSTRIES LIMITED,2021-12-24,True,active
DCMSRMCONS,2010-06-10,2014-03-12,933,,DCMSRMCONS,,,,inactive
DCW,2010-06-10,2026-06-10,3831,INE500A01029,DCW,DCW LIMITED,1995-05-25,True,active
DCXINDIA,2022-11-11,2026-06-10,828,INE0KL801015,DCXINDIA,DCX SYSTEMS LIMITED,2022-11-11,True,active
DDEVPLSTIK,2025-01-15,2026-06-10,345,INE0HR601026,DDEVPLSTIK,DDEV PLASTIKS INDUSTRIES LIMITED,2025-01-15,True,active
DECCANCE,2010-06-10,2026-06-10,3808,INE583C01021,DECCANCE,DECCAN CEMENTS LIMITED,2007-08-02,True,active
DECNGOLD,2026-04-20,2026-06-10,36,INE945F01025,DECNGOLD,DECCAN GOLD MINES LIMITED,2026-04-20,True,active
DECOLIGHT,2010-06-11,2015-04-23,649,,DECOLIGHT,,,,inactive
DEEDEV,2024-06-26,2026-05-18,468,INE841L01016,DEEDEV,DEE DEVELOPMENT ENGINEERS LIMITED,2024-06-26,True,active
DEEPAKFERT,2010-06-10,2026-06-10,3884,INE501A01019,DEEPAKFERT,DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED,2003-01-17,True,active
DEEPAKNTR,2010-09-29,2026-06-10,3777,INE288B01029,DEEPAKNTR,DEEPAK NITRITE LIMITED,2010-09-29,True,active
DEEPENR,2020-09-30,2024-09-04,739,,DEEPENR,,,,inactive
DEEPIND,2010-06-10,2020-09-29,2539,,DEEPIND,,,,inactive
DEEPINDS,2021-05-11,2026-06-10,1259,INE0FHS01024,DEEPINDS,DEEP INDUSTRIES LIMITED,2021-04-27,True,active
DEFENCE,2026-02-19,2026-06-10,73,,DEFENCE,,,,active
DELHIVERY,2022-05-24,2026-06-10,1002,INE148O01028,DELHIVERY,DELHIVERY LIMITED,2022-05-24,True,active
DELPHIFX,2021-09-01,2026-06-10,882,INE726L01027,DELPHIFX,DELPHI WORLD MONEY LIMITED,2011-06-28,True,active
DELTACORP,2010-06-10,2026-06-10,3947,INE124G01033,DELTACORP,DELTA CORPORATION LIMITED,2007-11-02,True,active
DELTAMAGNT,2010-06-11,2026-06-10,2349,INE393A01011,DELTAMAGNT,DELTA MANUFACTURING LIMITED,1995-10-18,True,active
DEN,2010-06-10,2026-06-10,3892,INE947J01015,DEN,DEN NETWORKS LIMITED,2009-11-24,True,active
DENABANK,2010-06-10,2019-03-07,2156,,DENABANK,,,,inactive
DENORA,2010-06-10,2026-06-10,3627,INE244A01016,DENORA,DE NORA INDIA LIMITED,1997-08-07,True,active
DENSO,2010-06-30,2013-10-28,713,,DENSO,,,,inactive
DENTA,2025-02-11,2026-06-10,325,INE0R4L01018,DENTA,DENTA WATER AND INFRA SOLUTIONS LIMITED,2025-01-29,True,active
DEVIT,2022-02-15,2026-06-10,917,INE060X01034,DEVIT,DEV INFORMATION TECHNOLOGY LIMITED,2022-02-15,True,active
DEVX,2025-10-01,2026-06-10,168,INE0VOV01021,DEVX,DEV ACCELERATOR LIMITED,2025-09-17,True,active
DEVYANI,2021-08-16,2026-06-10,1192,INE872J01023,DEVYANI,DEVYANI INTERNATIONAL LIMITED,2021-08-16,True,active
DEWANHOUS,2010-06-10,2012-05-21,485,,DEWANHOUS,,,,inactive
